年份,领域大类,关键词,论文标题,作者,论文链接,项目链接
2022,机器学习系统,"程序分析,图计算,机器学习",Mind Mappings: Enabling Efficient Algorithm-Accelerator Mapping Space Search,"Kartik Hegde ,UIUC；et al.",https://dl.acm.org/doi/abs/10.1145/3445814.3446762,https://github.com/kartik-hegde/mindMappings
2022,操作系统,"并发安全,安全存储,OS",FlexOS: towards flexible OS isolation,"Hugo Lefeuvre,University of Manchester;el al.",https://dl.acm.org/doi/10.1145/3503222.3507759,https://github.com/project-flexos/asplos22-ae
2022,系统安全与隐私,"FPGA,云计算,安全存储",ShEF: shielded enclaves for cloud FPGAs,"Mark Zhao,Stanford University;el al.",https://dl.acm.org/doi/10.1145/3503222.3507733,https://github.com/stanford-mast/shef
2022,软件测试,"非易失性内存,模糊测试,崩溃一致性",PMFuzz: Test Case Generation for Persistent Memory Programs,"Sihang Liu ,University of Virginia；et al.",https://dl.acm.org/doi/abs/10.1145/3445814.3446691,https://github.com/Systems-ShiftLab/PMFuzz
2022,文件和存储系统,"FPGA,软硬件协同,内存数据库",Clio: a hardware-software co-designed disaggregated memory system,"Zhiyuan Guo,University of California at San Diego;el al.",https://dl.acm.org/doi/10.1145/3503222.3507762,https://github.com/wuklab/clio
2022,数据中心系统,"云计算,机器学习,AlForSys",Sinan: ML-Based & QoS-Aware Resource Management for Cloud Microservices,"Yanqi Zhang,Cornell University；et al.",https://dl.acm.org/doi/abs/10.1145/3445814.3446693,https://github.com/zyqCSL/sinan-gcp
2020,系统安全与隐私,"OS,并发安全,程序分析","Occlum: Secure and Efficient Multitasking Inside a Single Enclave of Intel SGX
","Youren Shen, Shanghai Jiao Tong University; et al.",https://dl.acm.org/doi/pdf/10.1145/3373376.3378469,https://occlum.io/
2022,计算机体系结构,"GPU,程序分析,价值分析器",ValueExpert: exploring value patterns in GPU-accelerated applications,"Keren Zhou,Rice University；et al.",https://dl.acm.org/doi/10.1145/3503222.3507708,https://doi.org/10.5281/zenodo.5796083
2022,文件和存储系统,"NIC,软硬件协同,OS",The benefits of general-purpose on-NIC memory,"Boris Pismenny,Technion;el al.",https://dl.acm.org/doi/10.1145/3503222.3507711,https://doi.org/10.5281/zenodo.5748274
2022,系统安全与隐私,"程序分析,语言安全,时间安全",MineSweeper: a “clean sweep” for drop-in use-after-free prevention,"Márton Erdős,University of Cambridge;el al.",https://dl.acm.org/doi/10.1145/3503222.3507712,https://doi.org/10.5281/zenodo.5856289
2022,程序语言与编译器,"量子纠错,量子计算,编译",Paulihedral: a generalized block-wise compiler optimization framework for Quantum simulation kernels,"Gushu Li,University of California at Santa Barbara;el al.",https://dl.acm.org/doi/10.1145/3503222.3507715,https://doi.org/10.5281/zenodo.5780204
2022,数据库系统,"内存安全,并发安全,缓存系统",Randomized row-swap: mitigating Row Hammer by breaking spatial correlation between aggressor and victim rows,"Gururaj Saileshwar,Georgia Institute of Technology;el al.",https://dl.acm.org/doi/10.1145/3503222.3507716,https://doi.org/10.5281/zenodo.5942213
2022,并行与分布式系统,"Serverless,图计算,云计算",FaaSFlow: enable efficient workflow execution for function-as-a-service,"Zijun Li,Shanghai Jiao Tong University;el al.",https://dl.acm.org/doi/10.1145/3503222.3507717,https://doi.org/10.5281/zenodo.5900766
2022,系统安全与隐私,"崩溃一致性,内存安全,缓存系统",Pinned loads: taming speculative loads in secure processors,"Zirui Neil,ZhaoUniversity of Illinois at Urbana-Champaign;el al.",https://dl.acm.org/doi/10.1145/3503222.3507724,https://doi.org/10.5281/zenodo.5799180
2022,数据中心系统,"数据中心,云计算,内存数据库",Taurus: a data plane architecture for per-packet ML,"Tushar Swamy,Stanford University;el al.",https://dl.acm.org/doi/10.1145/3503222.3507726,https://doi.org/10.6084/m9.figshare.17097524.v1
2022,程序语言与编译器,"程序分析,图计算,SIMD",A one-for-all and o(v log(v ))-cost solution for parallel merge style operations on sorted key-value arrays,"Bangyan Wang,University of California at Santa Barbara;el al.",https://dl.acm.org/doi/10.1145/3503222.3507728,https://doi.org/10.5281/zenodo.5785310
2022,大数据系统,"Serverless,云计算,OS",Serverless computing on heterogeneous computers,"Dong Du,Shanghai Jiao Tong University;el al.",https://dl.acm.org/doi/10.1145/3503222.3507732,https://doi.org/10.1145/3462317
2022,操作系统,"程序分析,并发安全,OS",A tree clock data structure for causal orderings in concurrent executions,"Umang Mathur,National University of Singapore;el al.",https://dl.acm.org/doi/10.1145/3503222.3507734,https://doi.org/10.5281/zenodo.5842408
2022,机器学习系统,"机器学习,神经网络,AlForSys",NASPipe: high performance and reproducible pipeline parallel supernet training via causal synchronous parallelism,"Shixiong Zhao,University of Hong Kong;el al.",https://dl.acm.org/doi/10.1145/3503222.3507735,https://doi.org/10.5281/zenodo.5792458
2022,移动与嵌入式系统,"量子计算,编译,模糊计算",QUEST: systematically approximating Quantum circuits for higher output fidelity,"Tirthak Patel,Northeastern University;el al.",https://dl.acm.org/doi/10.1145/3503222.3507739,https://doi.org/10.5281/zenodo.5838527
2022,操作系统,"OS,上下文切换,硬件虚拟化",Efficient and scalable core multiplexing with M³v,"Nils Asmussen,Barkhausen Institut;el al.",https://dl.acm.org/doi/10.1145/3503222.3507741,https://doi.org/10.5281/zenodo.5863686
2022,计算机体系结构,"FPGA,加速器,软硬件协同","Enzian: an open, general, CPU/FPGA platform for systems software research","David Cock,ETH Zurich;el al.",https://dl.acm.org/doi/10.1145/3503222.3507742,https://doi.org/10.5281/zenodo.5802292
2022,程序语言与编译器,"程序分析,编译,内存数据库",Understanding and exploiting optimal function inlining,"Theodoros Theodoridis,ETH Zurich;el al.",https://dl.acm.org/doi/10.1145/3503222.3507744,https://doi.org/10.5281/zenodo.5848986
2022,计算机体系结构,"内存安全,图计算,数据库事务",DAGguise: mitigating memory timing side channels,"Peter W Deutsch,Massachusetts Institute of Technology;el al.",https://dl.acm.org/doi/10.1145/3503222.3507747,https://doi.org/10.5281/zenodo.5748606
2022,程序语言与编译器,"异构应用,程序修复,模糊测试",HeteroGen: transpiling C to heterogeneous HLS code with automated test generation and program repair,"Qian Zhang,University of California at Los Angeles;el al.",https://dl.acm.org/doi/10.1145/3503222.3507748,https://doi.org/10.5281/zenodo.5748410
2022,并行与分布式系统,"冷启动,云计算,Serverless",IceBreaker: warming serverless functions better with heterogeneity,"Rohan Basu Roy,Northeastern University;el al.",https://dl.acm.org/doi/10.1145/3503222.3507750,https://doi.org/10.5281/zenodo.5748667
2022,程序语言与编译器,"程序分析,编译,树遍历",Tree traversal synthesis using domain-specific symbolic compilation,"Yanju Chen,University of California at Santa Barbara;el al.",https://dl.acm.org/doi/10.1145/3503222.3507751,https://doi.org/10.5281/zenodo.5748202
2022,并行与分布式系统,"区块链,模糊计算,模糊测试",Who goes first? detecting go concurrency bugs via message reordering,"Ziheng Liu,Pennsylvania State University;el al.",https://dl.acm.org/doi/10.1145/3503222.3507753,https://doi.org/10.5281/zenodo.5893373
2022,数据库系统,"内存安全,非易失性内存,崩溃一致性",Efficiently detecting concurrency bugs in persistent memory programs,"Zhangyu Chen,Huazhong University of Science and Technology;el al.",https://dl.acm.org/doi/10.1145/3503222.3507755,https://doi.org/10.5281/zenodo.5790730
2022,系统安全与隐私,"程序分析,内存安全,GPU",Eavesdropping user credentials via GPU side channels on smartphones,"Boyuan Yang,University of Pittsburgh;el al.",https://dl.acm.org/doi/10.1145/3503222.3507757,https://doi.org/10.5281/zenodo.5826357
2022,计算机体系结构,"非易失性内存,崩溃一致性,GPU",GPM: leveraging persistent memory from a GPU,"Shweta Pandey,IISc Bangalore;el al.",https://dl.acm.org/doi/10.1145/3503222.3507758,https://doi.org/10.5281/zenodo.5847956
2022,程序语言与编译器,"程序分析,语言安全,并发安全",Creating concise and efficient dynamic analyses with ALDA,"Xiang Cheng,Georgia Institute of Technology;el al.",https://dl.acm.org/doi/10.1145/3503222.3507760,https://doi.org/10.5281/zenodo.5874548
2022,程序语言与编译器,"程序修复,软硬件协同,程序分析",CirFix: automatically repairing defects in hardware design code,"Hammad Ahmad,University of Michigan;el al.",https://dl.acm.org/doi/10.1145/3503222.3507763,https://doi.org/10.5281/zenodo.5846419
2022,程序语言与编译器,"程序分析,模糊测试,编译",Finding missed optimizations through the lens of dead code elimination,"Theodoros Theodoridis,ETH Zurich;el al.",https://dl.acm.org/doi/10.1145/3503222.3507764,https://doi.org/10.5281/zenodo.5870184
2021,程序语言与编译器,"脉冲流算术,数字信号处理,时序逻辑",Temporal and SFQ pulse-streams encoding for area-efficient superconducting accelerators,"Patricia Gonzalez-Guerrero,Lawrence Berkeley National Laboratory;el al.",https://dl.acm.org/doi/10.1145/3503222.3507765,https://doi.org/10.5281/zenodo.5746945
2021,机器学习系统,"Debug,非易失性内存,模糊测试",Yashme: detecting persistency races,"Hamed Gorjiara,University of California at Irvine;el al.",https://dl.acm.org/doi/10.1145/3503222.3507766,https://doi.org/10.1145/3462316
2021,移动与嵌入式系统,"静态分析,软件去膨胀,嵌入式系统",One size does not fit all: security hardening of MIPS embedded systems via static binary debloating for shared libraries,"Haotian Zhang,University of Texas at Arlington;el al.",https://dl.acm.org/doi/10.1145/3503222.3507768,https://doi.org/10.5281/zenodo.5746505
2021,数据库系统,"数据库事务,软硬件协同,数据中心",Domain specific run time optimization for software data planes,"Sebastiano Miano,Queen Mary University of London;el al.",https://dl.acm.org/doi/10.1145/3503222.3507769,https://doi.org/10.5281/zenodo.5830832
2021,计算机体系结构,"数据库事务,硬件虚拟化,虚拟内存",CARAT CAKE: replacing paging via compiler/kernel cooperation,"Brian Suchy,Northwestern University;el al.",https://dl.acm.org/doi/10.1145/3503222.3507771,https://doi.org/10.1145/3462318
2021,并行与分布式系统,"并发安全,并发控制,空间探索",REVAMP: a systematic framework for heterogeneous CGRA realization,"Thilini Kaushalya Bandara,National University of Singapore;el al.",https://dl.acm.org/doi/10.1145/3503222.3507772,https://doi.org/10.5281/zenodo.5848404
2021,系统安全与隐私,"内存安全,数据库事务,嵌入式系统",Protecting adaptive sampling from information leakage on low-power sensors,"Tejas Kannan,University of Chicago;el al.",https://dl.acm.org/doi/10.1145/3503222.3507775,https://doi.org/10.5281/zenodo.5747666
2021,并行与分布式系统,"微服务,云计算,Serverless","Nightcore: Efficient and Scalable Serverless Computing for Latency-Sensitive, Interactive Microservices","Zhipeng Jia, University of Texas at Austin；et al.",https://dl.acm.org/doi/abs/10.1145/3445814.3446701,https://doi.org/10.5281/zenodo.4321760
2021,数据中心系统,"硬件虚拟化,虚拟内存,OS",PTEMagnet: Fine-grained Physical Memory Reservation for Faster Page Walks in Public Clouds,"Artemiy Margaritov, University of Edinburgh；et al.",https://dl.acm.org/doi/abs/10.1145/3445814.3446704,https://doi.org/10.5281/zenodo.4321197
2021,计算机体系结构,"OS,FSM,有限状态机",Scalable FSM Parallelization via Path Fusion and Higher-Order Speculation,Junqiao Qiu ，Michigan Technological University；et al.,https://dl.acm.org/doi/abs/10.1145/3445814.3446705,https://doi.org/10.5281/zenodo.4556045
2021,计算机体系结构,"程序分析,自动矢量化,DSP",Vectorization for Digital Signal Processors via Equality Saturation,"Alexa VanHattum, Cornell University；et al.",https://dl.acm.org/doi/abs/10.1145/3445814.3446707,https://doi.org/10.5281/zenodo.4331404
2021,计算机体系结构,"NUMA,OS,内存安全",Fast Local Page-Tables for Virtualized NUMA Servers with vMitosis,Ashish Panwar ，Indian Institute of Science-Bangalore；et al.,https://dl.acm.org/doi/abs/10.1145/3445814.3446709,https://doi.org/10.5281/zenodo.4321310
2021,系统安全与隐私,"内存安全,崩溃一致性,非易失性内存",Corundum: Statically-Enforced Persistent Memory Safety,Morteza Hoseinzadeh，UC San Diego；et al.,https://dl.acm.org/doi/abs/10.1145/3445814.3446710,https://doi.org/10.5281/zenodo.4539743
2021,软件测试,"内存安全,并发安全,并发控制",C11Tester: A Fuzzer for C/C++ Atomics,"Weiyu Luo, Brian Demsky ，University of California；et al.",https://dl.acm.org/doi/abs/10.1145/3445814.3446711,https://doi.org/10.1145/3410278
2021,数据库系统,"数据库事务,内存数据库,缓存系统",Rethinking Software Runtimes for Disaggregated Memory,Irina Calciu ，VMware Research；et al.,https://dl.acm.org/doi/abs/10.1145/3445814.3446713,https://doi.org/10.5281/zenodo.4504602
2021,系统安全与隐私,"并发安全,内存安全,数据库事务",Jamais Vu: Thwarting Microarchitectural Replay Attacks,"Dimitrios Skarlatos, University of Illinois at Urbana-Champaign；et al.",https://dl.acm.org/doi/abs/10.1145/3445814.3446716,https://doi.org/10.5281/zenodo.4429956
2021,机器学习系统,"SysForAI,AlForSys,FPGA",Quantifying the Design-Space Tradeoffs in Autonomous Drones,"Ramyad Hadidi, Georgia Institute of Technology；et al.",https://dl.acm.org/doi/abs/10.1145/3445814.3446721,https://doi.org/10.5281/zenodo.4546175
2021,机器学习系统,"软硬件协同,时延优化,编译",PacketMill: Toward per-core 100-Gbps Networking,"Alireza Farshin, KTH Royal Institute of Technology；et al.",https://dl.acm.org/doi/abs/10.1145/3445814.3446724,https://doi.org/10.5281/zenodo.4435970
2021,计算机体系结构,"非易失性内存,崩溃一致性,编译","Clobber-NVM: Log Less, Re-execute More",Yi Xu ，UC San Diego；et al.,https://dl.acm.org/doi/abs/10.1145/3445814.3446730,https://doi.org/10.5281/zenodo.4322233
2021,操作系统,"OS,并发控制,并发安全",CubicleOS: A Library OS with Software Componentisation for Practical Isolation,"Vasily A. Sartakov, Imperial College London；et al.",https://dl.acm.org/doi/abs/10.1145/3445814.3446731,https://doi.org/10.5281/zenodo.4321431
2021,计算机体系结构,"程序分析,GPU,加速器",Judging a Type by its Pointer: Optimizing Virtual Function Calls on GPUs,"Mengchi Zhang, Purdue University；et al.",https://dl.acm.org/doi/abs/10.1145/3445814.3446734,https://doi.org/10.5281/zenodo.4539728
2021,数据库系统,"程序分析,非易失性内存,崩溃一致性",Jaaru: Efficiently Model Checking Persistent Memory Programs,"Hamed Gorjiara，University of California, Irvine；et al.",https://dl.acm.org/doi/abs/10.1145/3445814.3446735,https://doi.org/10.6084/m9.figshare.13392338
2021,系统安全与隐私,"内存安全,并发安全,并发控制",HerQules: Securing Programs via Hardware-Enforced Message Queues,Daming Chen ，Carnegie Mellon University；et al.,https://dl.acm.org/doi/abs/10.1145/3445814.3446736,https://doi.org/10.5281/zenodo.4501773
2021,计算机体系结构,"内存管理,文件系统,OS",PIBE: Practical Kernel Control-flow Hardening with Profile-guided Indirect Branch Elimination,"Victor Duta,Vrije Universiteit Amsterdam；et al.",https://dl.acm.org/doi/abs/10.1145/3445814.3446740,https://doi.org/10.5281/zenodo.4541351
2021,数据库系统,"程序分析,非易失性内存,Debug","Fast, Flexible and Comprehensive Bug Detection for Persistent Memory Programs",Bang Di ，Hunan University；et al.,https://dl.acm.org/doi/abs/10.1145/3445814.3446744,https://doi.org/10.1145/3410281
2021,程序语言与编译器,"贝叶斯网络,合取范式,量子电路切割",Noisy Variational Quantum Algorithm Simulation via Knowledge Compilation for Repeated Inference,Yipeng Huang ，Rutgers University；et al.,https://dl.acm.org/doi/abs/10.1145/3445814.3446750,https://doi.org/10.5281/zenodo.4321945
2021,程序语言与编译器,"编译,翻译验证,程序分析",Language-Parametric Compiler Validation with Application to LLVM,Theodoros Kasampalis ，University of Illinois at Urbana-Champaign；et al.,https://dl.acm.org/doi/abs/10.1145/3445814.3446751,https://doi.org/10.5281/zenodo.4322105
2021,程序语言与编译器,"编译,FPGA,程序分析",Compiler-Driven FPGA Virtualization with SYNERGY,"Joshua Landgraf,UT Austin；et al.",https://dl.acm.org/doi/abs/10.1145/3445814.3446755,https://doi.org/10.1145/3410283
2021,计算机体系结构,"Serverless,云计算,缓存系统",FaasCache: Keeping Serverless Computing Alive With Greedy-Dual Caching,"Alexander Fuerst,Indiana University；et al.",https://dl.acm.org/doi/abs/10.1145/3445814.3446757,https://doi.org/10.1145/3410276
2021,计算机体系结构,"量子计算,混合计算,量子电路切割",CutQC: Using Small Quantum Computers for Large Quantum Circuit Evaluations,"Wei Tang, Princeton University；et al.",https://dl.acm.org/doi/abs/10.1145/3445814.3446758,https://doi.org/10.5281/zenodo.4329804
2021,网络系统,"数据中心,云计算,机器学习",Switches for HIRE: Resource Scheduling for Data Center In-Network Computing,Marcel Blöcher，Technische Universität Darmstadt；et al.,https://dl.acm.org/doi/abs/10.1145/3445814.3446760,https://doi.org/10.5281/zenodo.4446702
2021,计算机体系结构,"软硬件协同,SSD,程序分析",RecSSD: Near Data Processing for Solid State Drive Based Recommendation Inference,"Mark Wilkening,Harvard University；et al.",https://dl.acm.org/doi/abs/10.1145/3445814.3446763,https://doi.org/10.1145/3410277
2021,程序语言与编译器,"二进制代码补丁,trampoline placement,二元分析信度",Incremental CFG Patching for Binary Rewriting,Xiaozhu Meng，Rice University；et al.,https://dl.acm.org/doi/abs/10.1145/3445814.3446765,https://doi.org/10.5281/zenodo.4540633
